song names,song genre
Wishing For A Hero (feat. BJ The Chicago Kid) - Polo G,"['chicago rap', 'rap']"
Maytag (Tax Free) - Ben Reilly,[]
"12.38 (feat. 21 Savage, Ink & Kadhja Bonet) - Childish Gambino","['atl hip hop', 'hip hop', 'rap']"
bread & butter - Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
ca$h $hit - Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
fukumean - Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
"Home (Metro Boomin & Don Toliver, Lil Uzi Vert) - Metro Boomin",['rap']
m y . l i f e (with 21 Savage & Morray) - J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
Free Twuan - JBFlyBoi,[]
4loko - Prison Mike,[]
Suicide Kid - JayO Sama,['florida rap']
Bomb Thrown - CZARFACE,['alternative hip hop']
Impala - Young Nudy,"['pluggnb', 'rap', 'trap']"
Transportin' - Kodak Black,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']"
Nights - Frank Ocean,"['lgbtq+ hip hop', 'neo soul']"
Headshots (4r da Locals) - Isaiah Rashad,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']"
Kevin’s Heart - J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
Rich Nigga Shit (feat. Young Thug) - 21 Savage,"['atl hip hop', 'hip hop', 'rap']"
Survival Tactics - Joey Bada$$,"['conscious hip hop', 'hip hop', 'rap']"
King Kunta - Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
RIP Young - Isaiah Rashad,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']"
Flashing Lights - Kanye West,"['chicago rap', 'hip hop', 'rap']"
Eazy (Feat. Kanye West) - The Game,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
4:44 - JAY-Z,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
Swimming Pools (Drank) - Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Surround Sound (feat. 21 Savage & Baby Tate) - JID,"['hip hop', 'pop rap', 'rap', 'underground hip hop']"
Superpower (feat. Frank Ocean) - Beyoncé,"['pop', 'r&b']"
Super Rich Kids - Frank Ocean,"['lgbtq+ hip hop', 'neo soul']"
I Say a Little Prayer - Aretha Franklin,"['classic soul', 'jazz blues', 'memphis soul', 'neo soul', 'soul', 'southern soul', 'vocal jazz']"
Hood Gone Love It (feat. Kendrick Lamar) - Jay Rock,"['conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Wat's Wrong (feat. Zacari & Kendrick Lamar) - Isaiah Rashad,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']"
BLACK BALLOONS | 13LACK 13ALLOONZ [FEAT. TWELVE'LEN & GOLDLINK | TWELVE'LEN + GOLDL1NK] - Denzel Curry,"['dark trap', 'drill', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']"
"Potato Salad - Tyler, The Creator","['hip hop', 'rap']"
90210 (feat. Kacy Hill) - Travis Scott,"['hip hop', 'rap', 'slap house']"
Location - Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
4th Dimension - KIDS SEE GHOSTS,['rap']
Private Landing (feat. Justin Bieber & Future) - Don Toliver,"['pop rap', 'rap', 'trap']"
Jamming - Bob Marley & The Wailers,"['reggae', 'roots reggae']"
Know You Miss Me - Chasinbens,[]
"Come On, Let's Go (with Nigo) - Tyler, The Creator",[]
My Kind of Woman - Mac DeMarco,"['edmonton indie', 'lo-fi indie', 'pov: indie']"
Heart To Heart - Mac DeMarco,"['edmonton indie', 'lo-fi indie', 'pov: indie']"
Chamber Of Reflection - Mac DeMarco,"['edmonton indie', 'lo-fi indie', 'pov: indie']"
Freaking Out the Neighborhood - Mac DeMarco,"['edmonton indie', 'lo-fi indie', 'pov: indie']"
HONEST - Baby Keem,"['hip hop', 'rap']"
Runaway - Kanye West,"['chicago rap', 'hip hop', 'rap']"
The Question (feat. Lil Wayne) - Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
DEVASTATED - Joey Bada$$,"['conscious hip hop', 'hip hop', 'rap']"
Alright - Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Keep It On - Mase,"['contemporary r&b', 'gangster rap', 'hardcore hip hop', 'harlem hip hop', 'hip hop', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']"
Welcome Back - Mase,"['contemporary r&b', 'gangster rap', 'hardcore hip hop', 'harlem hip hop', 'hip hop', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']"
Player's Anthem - Junior M.A.F.I.A.,"['dirty south rap', 'east coast hip hop']"
All I Ever Wanted - Mase,"['contemporary r&b', 'gangster rap', 'hardcore hip hop', 'harlem hip hop', 'hip hop', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']"
Nappy Heads - Fugees,"['east coast hip hop', 'hip hop', 'neo soul', 'new jersey rap']"
Fu-Gee-La (feat. John Forté) - Refugee Camp Remix - Fugees,"['east coast hip hop', 'hip hop', 'neo soul', 'new jersey rap']"
Killing Me Softly With His Song - Fugees,"['east coast hip hop', 'hip hop', 'neo soul', 'new jersey rap']"
I Wonder - Kanye West,"['chicago rap', 'hip hop', 'rap']"
Revenge - XXXTENTACION,"['emo rap', 'miami hip hop', 'rap']"
Zealots - Fugees,"['east coast hip hop', 'hip hop', 'neo soul', 'new jersey rap']"
Novacane - Frank Ocean,"['lgbtq+ hip hop', 'neo soul']"
"No Woman, No Cry - Fugees","['east coast hip hop', 'hip hop', 'neo soul', 'new jersey rap']"
Dangerous (feat. Kid Cudi) - ScHoolboy Q,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Follow God - Kanye West,"['chicago rap', 'hip hop', 'rap']"
Hate It Or Love It - The Game,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Texas Cyclone - Sauce Walka,"['houston rap', 'memphis hip hop', 'trap']"
Ms. Evans 1 - Tee Grizzley,"['detroit hip hop', 'detroit trap', 'rap', 'southern hip hop', 'trap']"
DO IT AGAIN (feat. 2Rare) - NLE Choppa,"['memphis hip hop', 'rap']"
